rank_ben_no,feature,family,f_stat,p_anova,p_mal_ben,p_mal_no,p_ben_no,cliff_delta_mal_ben,cliff_delta_mal_no,cliff_delta_ben_no,mean_mal,mean_ben,mean_no,std_mal,std_ben,std_no,q_anova,q_mal_ben,q_mal_no,q_ben_no
1,original_glcm_DifferenceVariance,glcm,26.717355951916975,1.0854386774829712e-11,0.009393534513644044,9.759176496782595e-13,2.861628591775679e-06,0.200031328320802,0.4735296390756627,0.3125393329137823,0.5440994961498804,0.47567305349836364,0.36503505066524644,0.25214128337374586,0.2535018614900301,0.18628519352984377,4.4285898041305225e-11,0.015707221645765452,3.6868000098956465e-12,0.00029188611636111924
2,original_glcm_Contrast,glcm,28.463449208711086,2.291474048145052e-12,0.0009974410282704669,1.4298293241107023e-13,1.0303919954899346e-05,0.25344611528822053,0.4907643558234794,0.2945248584015104,0.8265635887454136,0.6615106144216377,0.5091576281100699,0.4423745321603577,0.39615271720056644,0.3111412643987857,9.738764704616472e-12,0.0022608663307463915,6.076774627470485e-13,0.0003842451579308839
3,original_glcm_Correlation,glcm,33.75852098772145,2.1865934597753626e-14,1.279548503975817e-05,2.9908692176443326e-16,2.260265634887552e-05,-0.33599624060150374,-0.5425457917922559,-0.282960981749528,0.9731901204463157,0.980566150906686,0.9847680471706293,0.015370002271728314,0.012327462062061404,0.010263396202057047,1.3591258954093675e-13,3.838645511927451e-05,2.1790618585694426e-15,0.0003842451579308839
4,original_glszm_SizeZoneNonUniformityNormalized,glszm,18.28092870996874,2.3267618955989013e-08,0.5328519862568541,5.155689843247009e-07,1.992109421602421e-05,0.048088972431077695,0.3332560476080068,0.28484896161107615,0.13423869383622614,0.13335390482274612,0.11005218447452068,0.03551772500259452,0.04115895594295216,0.044676692914979346,5.9332428337771986e-08,0.5782010914702034,1.073225232675908e-06,0.0003842451579308839
5,original_glszm_SmallAreaEmphasis,glszm,18.678816615757285,1.610893272918543e-08,0.7043274299847132,1.820403407568745e-06,1.8304767923041687e-05,0.029291979949874685,0.31679418811345544,0.2861076148521082,0.3500472986637983,0.34926516270520747,0.3049456421563924,0.06300691931455954,0.06899871002490288,0.08760372660737241,4.3239766799392466e-08,0.7562252406151657,3.64080681513749e-06,0.0003842451579308839
6,original_glszm_SizeZoneNonUniformity,glszm,42.43773929577817,1.3060529364330199e-17,6.321942758067102e-08,1.6000411143066714e-19,1.2727144253317369e-05,0.41651002506265666,0.5998917999845429,0.29145689112649464,649.2569602908605,380.8137003535173,264.34691686001304,451.7072594216261,397.6803957888877,287.04960825482425,3.3304349879042004e-16,8.060477016535554e-07,3.2640838731856097e-18,0.0003842451579308839
7,original_glcm_MCC,glcm,30.00785309381622,5.841396824630489e-13,1.767867861281884e-05,8.165776542422426e-15,6.253674617424205e-05,-0.33051378446115287,-0.5154185022026432,-0.26730648206419133,0.9780429058529153,0.9845058149655194,0.9873315041500231,0.013420652249484124,0.009875628601326816,0.008826976733704943,2.5905325048361297e-12,5.1520720528786336e-05,4.627273374039375e-14,0.000911249729967527
8,original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,18.775749704144545,1.4730039441689768e-08,2.912032002875196e-06,2.0589436146843207e-17,8.088564407933671e-05,-0.3601190476190476,-0.5635675090810727,-0.263215859030837,1913226.26153359,4231700.456243782,8768284.478838129,4676449.721637833,5877409.780153632,13515276.251680471,4.0607135758171794e-08,9.900908809775667e-06,2.625153108722509e-16,0.001031291962011543
9,original_glszm_ZonePercentage,glszm,37.12235830005249,1.1957808237082035e-15,9.816332515260622e-08,2.9336634568397957e-18,0.00013907968575263847,0.41040100250626566,0.5784063683437669,0.2544052863436123,0.05797860607857923,0.03778233262865126,0.028178652901151468,0.03519840263142479,0.03368080449068375,0.024855551121384187,1.3275841333910472e-14,1.1125176850628706e-06,4.274766751395131e-17,0.0015762364385299027
10,original_gldm_SmallDependenceEmphasis,gldm,37.02363384143196,1.3015530719520072e-15,7.20729528956866e-07,1.0459230950185535e-16,0.00027500030985934626,0.3815789473684211,0.5508926501275214,0.24292007551919445,0.06854470113315346,0.05259470489162078,0.04489477342413763,0.027811933569853106,0.025688463435159955,0.020552529847885075,1.3275841333910472e-14,4.324377173741196e-06,8.977899404728954e-16,0.002805003160565332
11,original_ngtdm_Complexity,ngtdm,14.607803449157132,7.134294841639023e-07,0.007850502655795944,1.5510014414263343e-10,0.00032102109579871613,0.20473057644110276,0.42483963211994746,0.24024543738200127,97.40085416624643,80.24343446695435,62.73175882522025,60.33694316128208,61.27733018586898,52.046410164962616,1.5819523344503921e-06,0.015290653922630093,4.94381709454644e-10,0.0028549066308478023
12,original_gldm_DependenceVariance,gldm,16.012184057768046,1.915543207008391e-07,0.06481126439139882,2.0551017330096444e-08,0.00033587136833503555,0.14223057644110276,0.37220805317257905,0.2394587791063562,4.633337017893932,4.451530812872554,4.167550428232938,0.7066087130931719,0.746207895808902,0.7612948243740015,4.440577434428543e-07,0.09438835478187782,5.1126921162678954e-08,0.0028549066308478023
13,original_glcm_DifferenceEntropy,glcm,36.443854908852934,2.1424856739319248e-15,4.232878166672275e-06,6.60809354434106e-15,0.00043161966328056985,0.3541666666666667,0.5171960738851534,0.23505349276274387,1.2340733980101135,1.0892417119050217,1.0055644885854045,0.2476684072543279,0.228983044641625,0.2263201984097971,1.6810272210850486e-14,1.3492299156267877e-05,3.9648561266046364e-14,0.003386554281124471
14,original_glrlm_ShortRunEmphasis,glrlm,40.08931980944071,9.501991743281538e-17,8.00091105445861e-07,2.4649549771088883e-16,0.0006831810041334507,0.3800125313283208,0.5440915062987867,0.22679358086847073,0.5309868777179503,0.4612216286947433,0.4197773937809648,0.10162123732264097,0.10605829401953687,0.11183574586621627,1.2115039472683961e-15,4.533849597526545e-06,1.9340415974238973e-15,0.004977461601543712
15,original_glcm_DifferenceAverage,glcm,32.84821934674933,4.832099199436767e-14,6.7336537592254455e-06,2.548039174940687e-14,0.0008387304814323355,0.3466478696741855,0.5057577865368267,0.22301762114537446,0.48562135142461077,0.3894191716703763,0.34176259076784066,0.17793634986554582,0.1568888147787543,0.13909150000708845,2.347019611155001e-13,2.0813111619424104e-05,1.2994999792197505e-13,0.0057033672737398814
16,original_glcm_Imc1,glcm,41.527386858713136,2.8128869497376566e-17,1.0977950173443897e-07,1.056223459379877e-16,0.000996974785804672,0.40883458646616544,0.5508153644021949,0.2197923222152297,-0.5985450233617349,-0.6560826734531651,-0.6819949093150871,0.08379610999819134,0.07880741523012545,0.07766096552631993,5.738289377464819e-16,1.1197509176912776e-06,8.977899404728954e-16,0.006355714259504784
17,original_glszm_GrayLevelNonUniformity,glszm,40.46601406620818,6.903312755073428e-17,3.8441213743038864e-11,1.0001492320416998e-19,0.0011630727289059727,0.5089285714285714,0.6032923718989103,0.216881686595343,298.2619910227136,172.9291971253932,140.11374726572095,188.83830855028725,162.2851691855653,128.13726253437895,1.1735631683624828e-15,1.3070012672633213e-09,3.059020625001652e-18,0.006978436373435836
18,original_glszm_LargeAreaEmphasis,glszm,7.278130597757538,0.000774808002755219,0.0003710839923032295,2.4085227161281704e-10,0.0014282849359531058,-0.2741228070175439,-0.4203570600510086,-0.2129483952171177,95268.99533157893,114100.66035427635,206168.9904301776,195735.95522685203,148401.7967934398,362941.1708900472,0.0013394985810344464,0.0009462641803732353,7.444524758941618e-10,0.007730372376181652
19,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,35.60380058994347,4.41976249202361e-15,2.3491679187834942e-07,1.1996159313731968e-19,0.0014399713249750134,-0.3980263157894737,-0.6019785145683593,-0.21279106356198868,1048.7865870702763,1882.4053434570476,2459.363935131434,1040.7808483483657,1372.7737855620987,1660.1073101236527,3.220112672760059e-14,1.99679273096597e-06,3.059020625001652e-18,0.007730372376181652
20,original_glcm_Imc2,glcm,30.39618390174427,4.147875570213614e-13,2.106705332227393e-09,2.0201666863800165e-20,0.001741290798430346,-0.46115288220551376,-0.614730659247237,-0.2090937696664569,0.9923931426482316,0.9952914822421839,0.9962823680899002,0.005125312597312056,0.0045387737976550595,0.0037866107598949757,1.9231059461899483e-12,3.581399064786568e-08,1.0302850100538085e-18,0.008073257338177058
21,original_glszm_ZoneVariance,glszm,7.194217677918302,0.0008404299151362473,0.00043294448153635565,4.13362028919992e-10,0.0016261783558326338,-0.27098997493734334,-0.4147924878274983,-0.2104310887350535,93953.41748743044,111391.16857294376,197142.7423413418,193641.59861223082,144964.90159695313,335628.70445988287,0.0014287308557316206,0.0010770813930904457,1.2400860867599759e-09,0.008073257338177058
22,original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,17.071155930431754,7.14301678247008e-08,0.044717206625872086,6.804469876538769e-07,0.0016659816388616868,0.15460526315789475,0.3297009042429863,0.20995909376966645,0.01015188785810974,0.00851864869273941,0.006943992344513087,0.0058159842752827885,0.0048264305516095415,0.004254067353672766,1.694390027469647e-07,0.06610369675128916,1.3881118548139088e-06,0.008073257338177058
23,original_glrlm_RunLengthNonUniformityNormalized,glrlm,36.74405133679073,1.654939114272394e-15,8.695769166073113e-07,7.583089459829949e-16,0.0019396020320040738,0.37875939849624063,0.5350490764355823,0.20696979232221524,0.2961954755631368,0.2402758865719762,0.21359126033180892,0.08747828883512426,0.08462773992358895,0.08120225750945265,1.4066982471315347e-14,4.668255025997145e-06,4.834219530641592e-15,0.008601713359322414
24,original_glcm_Idm,glcm,33.49404514250244,2.752291573211585e-14,1.7646064278361637e-06,4.2137977329971614e-14,0.0036734654931017577,-0.36795112781954886,-0.5014297859185408,-0.19398993077407176,0.7851666740749478,0.8260132478143225,0.8430138621128822,0.06971083880174457,0.06200593229560018,0.056490627995417056,1.5596318914865648e-13,7.4995773183036954e-06,2.0467017560271924e-13,0.01561222834568247
25,original_firstorder_Maximum,firstorder,6.828246482420439,0.0011984992362704487,0.4387938174379492,0.0001792879752155256,0.003930176716534525,0.05968045112781955,0.2487054641007806,0.19257394587791063,422.64329855402053,417.41236067854214,377.55039745021986,115.17666152895681,137.32580418156914,118.11894142534189,0.0019101081578060278,0.486488797594248,0.0002857402104997439,0.016035121003460863
26,original_glcm_Id,glcm,33.71790189683975,2.265209825682279e-14,1.932530928795074e-06,5.507599143363927e-14,0.004476484020348626,-0.36654135338345867,-0.4991112141587449,-0.18982064191315293,0.7941903424515724,0.8319517591070807,0.8474851598802121,0.06363393459771109,0.05660860588704834,0.052294095707950156,1.3591258954093675e-13,7.581467489888367e-06,2.5535232391960023e-13,0.0175615911567523
27,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,20.580116497546868,2.8028273016610443e-09,0.002058458210643847,5.559820634434148e-12,0.005697319962877363,0.23731203007518797,0.4573769224824175,0.18462869729389553,0.017982021927293944,0.014907357432886296,0.010871290284022903,0.010643355183016245,0.011731796973459142,0.008436880239448845,8.663284386952319e-09,0.004374223697618175,1.955523119697528e-11,0.021523208748647816
28,original_glrlm_RunEntropy,glrlm,43.44814391812169,5.590817643350976e-18,4.0935169805789067e-08,3.0101462959304704e-17,0.006210908889131487,-0.4224624060150376,-0.5606306515186645,-0.18274071743234738,6.276394924055122,6.665227929478613,6.829710629975381,0.4684705516185326,0.5295423129980882,0.5312971405575282,1.900877998739332e-16,5.96483902884355e-07,3.4114991353878663e-16,0.02262545381040756
29,original_glrlm_RunPercentage,glrlm,33.778077129521016,2.14972665492437e-14,1.8939371966394923e-06,9.797882265664334e-14,0.006483022732207263,0.3668546365914787,0.4940876420125203,0.18179672750157333,0.3884486726228136,0.32202831067940385,0.2957245191169685,0.10928044982997955,0.09750031134769155,0.09226610840690831,1.3591258954093675e-13,7.581467489888367e-06,4.345147787381574e-13,0.022802355816728997
30,original_gldm_DependenceNonUniformity,gldm,11.044092371551942,2.0778351075722764e-05,0.20747364755960662,9.626182911072064e-06,0.007390843558837971,-0.09711779448621553,-0.29376304196614883,-0.17888609188168658,13098.71733601147,14311.712051902474,16088.9910489014,4361.582975395114,5969.97432399693,6191.759000130936,4.238783619447444e-05,0.24896837707152797,1.7533404588024114e-05,0.024318259451660423
31,original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,1.6643732796263442,0.1904724705231171,0.22175225108987706,0.07377964647340739,0.007287481106784103,-0.09414160401002507,0.11871087410155344,0.17920075519194462,51.13530240285164,56.482955291056946,50.865367311476355,19.81325809007951,26.404376465281487,31.56128879797933,0.21349661531162578,0.2630084838507844,0.09066896313599462,0.024318259451660423
32,original_glszm_ZoneEntropy,glszm,5.126746855030931,0.006287376733933547,0.8347883256302938,0.00896053735680949,0.007735914996757185,0.01613408521303258,-0.17350645335806478,-0.177863436123348,7.894556696741857,7.887714917402581,7.985939014874649,0.29745269743114994,0.3376478014552374,0.3106272069521883,0.008907117039739192,0.8430535565771284,0.013056783005636684,0.024658229052163527
33,original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,24.73407752859259,6.435165768030882e-11,3.935030398825468e-05,4.2713350200186438e-16,0.008617712808446832,-0.31657268170426067,-0.5396862199551743,-0.17542479546884834,2361.8011090210125,3223.1441568687615,3784.5036197843215,1580.6962427081446,1727.286277765491,1858.363893593595,2.5245650320736537e-10,0.00010562450017899942,2.904507813612678e-15,0.025853138425340497
34,original_gldm_LargeDependenceEmphasis,gldm,32.895012871650586,4.6387844808372675e-14,2.1157510487643905e-06,2.8449534561189333e-13,0.008587920960716106,-0.3651315789473684,-0.4846587835226834,-0.17550346129641284,40.11814179076678,46.32480086492176,48.725045337310604,10.149040465628042,9.074690225335736,8.809803607554825,2.347019611155001e-13,7.992837295332142e-06,1.1160971250928123e-12,0.025853138425340497
35,original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,20.60513269073785,2.7393208935744137e-09,0.000856134917634848,1.9737767756174734e-08,0.009107109493035892,0.2567355889724311,0.37267176752453823,0.17416614222781623,7.9654937212988495,6.146225739780007,5.327684515146266,4.5356133788210915,3.8092909339202814,2.8153517050477697,8.663284386952319e-09,0.001984676399971693,5.033130777824557e-08,0.026540719093990313
36,original_glrlm_RunLengthNonUniformity,glrlm,40.243848270681305,8.334307628334052e-17,1.1072280276763459e-09,6.1490766454847e-17,0.010947107471660392,0.4691416040100251,0.5550660792951542,0.1699181875393329,10145.210514304537,6377.686325023406,5621.963103202968,5422.909445123865,4295.707678219472,3944.1435829709612,1.2115039472683961e-15,2.2587451764597455e-08,6.272058178394394e-16,0.03101680450303778
37,original_firstorder_Range,firstorder,2.8783641523815593,0.057262540496983906,0.7968708078901399,0.03421656636516077,0.01437441698395575,-0.019893483709273182,0.14058273436896204,0.16346758967904343,586.5109832828349,594.0168919496518,562.3132608416935,119.37984308942465,132.73272447534157,125.06437292084746,0.06791603640339952,0.8256507519758608,0.044744740631364084,0.03962677114495909
38,original_ngtdm_Strength,ngtdm,4.7870484084877525,0.008766345161345673,0.007524886112474591,0.46284444229863797,0.014948295797060427,-0.20582706766917294,-0.04876729268104181,0.16252359974826935,0.23079427629696328,0.3308119473417718,0.26627952828097073,0.142446734282294,0.34515719090934827,0.22956201068853058,0.012248865841880256,0.015049772224949182,0.48670240324186675,0.04012437292895167
39,original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,19.71180841185387,6.218821932513594e-09,0.0027519213621258346,8.090693817964109e-12,0.016900895875811655,0.23057644110275688,0.453821779117397,0.1595342983008181,0.0031416629510683212,0.0026119356846909672,0.0017966455428390681,0.002018218902833357,0.00234557070558824,0.0016462326139298216,1.7619995475455184e-08,0.005613919578736703,2.750835898107797e-11,0.04309728448331972
40,original_glcm_InverseVariance,glcm,32.95820321133332,4.3899982621364263e-14,1.0478054915062573e-06,2.7961175015364744e-13,0.016525222103913384,0.37593984962406013,0.48481335497333644,0.16008495909376966,0.33232646230076246,0.28311924605238625,0.26569994044573514,0.07614076416041322,0.06909640517685985,0.0701707727596888,2.347019611155001e-13,5.089340958744678e-06,1.1160971250928123e-12,0.04309728448331972
41,original_gldm_DependenceNonUniformityNormalized,gldm,22.22319534476687,6.25162789101066e-10,3.1834254569835064e-06,1.2156057896584603e-12,0.019134215528639517,-0.35870927318295737,-0.4715202102171729,-0.1564663310258024,0.16089564699993708,0.18538616737486363,0.20045058066563978,0.041622887271334404,0.05005149501778218,0.056589973116851704,2.219679920495637e-09,1.0474496664913473e-05,4.428278233755819e-12,0.047602194729786114
42,original_firstorder_Energy,firstorder,4.06736504807041,0.01775587314656381,0.8094615215449616,0.029662567084173697,0.04600705358598529,-0.01864035087719298,-0.14436973490996213,-0.13325991189427314,804019724.1314777,812634834.0893167,846928831.1806806,160936220.91370675,150662834.92231053,134236999.18973517,0.021820470613849504,0.8256507519758608,0.03929327068293139,0.09024460511097113
43,original_glcm_Idmn,glcm,12.497859563326406,5.219562381412041e-06,0.0005649105422760662,5.605018565545921e-10,0.04436290907460096,-0.26550751879699247,-0.41162377308911047,-0.1342825676526117,0.9986202932311168,0.9988500626831509,0.999024795916066,0.0007408769498668434,0.0007641162804644867,0.0006568710443218654,1.1327560912851663e-05,0.0013400203560967154,1.6334625533876686e-09,0.09024460511097113
44,original_shape2D_Elongation,shape2D,4.73099120930697,0.009261037262176645,0.007945143704896029,0.32772440738891717,0.04355787628425737,0.20441729323308272,0.06499729499961357,-0.134793895531781,0.792769358419147,0.7391441806357603,0.7749947152145368,0.11788436851128066,0.14796174639098308,0.13451560232728035,0.012765213523540781,0.015290653922630093,0.37658053659853113,0.09024460511097113
45,original_shape2D_PerimeterSurfaceRatio,shape2D,6.166335023412674,0.0022805224852927124,0.009364473771512423,0.3497635266163234,0.043863414884953655,-0.20010964912280702,-0.06209908029986862,0.13459723096286974,0.014355027909265043,0.01512425006495795,0.014611500655301363,0.001335493354028913,0.0020559516334049924,0.0016356569039908207,0.003446760698200602,0.015707221645765452,0.3849293299171442,0.09024460511097113
46,original_shape2D_Perimeter,shape2D,4.659811268008942,0.009929806080329446,0.008979553461477269,0.3631046536639353,0.04428962268458812,0.2012061403508772,0.06039879434268491,-0.13432190056639395,1142.9336902826408,1109.1141414104607,1132.1500130278298,74.87994700537143,94.47292021029737,85.94054712285495,0.012985131028123122,0.015707221645765452,0.3940071773800149,0.09024460511097113
47,original_shape2D_MeshSurface,shape2D,4.662380805400161,0.009904840350581557,0.009199287766436423,0.3509649772773962,0.04411071650347412,0.20057957393483708,0.06194450884921555,-0.13443989930774072,80712.88596491228,75312.125,78986.22246696035,11957.485563818416,15075.864149672316,13715.04495480794,0.012985131028123122,0.015707221645765452,0.3849293299171442,0.09024460511097113
48,original_shape2D_MaximumDiameter,shape2D,4.18603814591345,0.015802696845785242,0.008823925862787968,0.3717885724402016,0.045364947522188385,0.20167606516290726,0.059316794188113454,-0.13365324103209567,407.67779197683876,398.20943788593223,404.75557137024,22.65168052581914,27.349471266734373,25.623290097318904,0.019899692324322156,0.015707221645765452,0.3991835198831638,0.09024460511097113
49,original_firstorder_TotalEnergy,firstorder,4.06736504807041,0.01775587314656381,0.8094615215449616,0.029662567084173697,0.04600705358598529,-0.01864035087719298,-0.14436973490996213,-0.13325991189427314,804019724.1314777,812634834.0893167,846928831.1806806,160936220.91370675,150662834.92231053,134236999.18973517,0.021820470613849504,0.8256507519758608,0.03929327068293139,0.09024460511097113
50,original_shape2D_Sphericity,shape2D,6.940852646371198,0.0010744481690734271,0.00811399961571672,0.3285849780124438,0.043494658115745204,0.20386904761904762,0.06488136641162377,-0.13483322844556325,0.8779949666390191,0.8710335414105516,0.8755472905600565,0.010422986397283281,0.018598695072795265,0.01349060410964858,0.0017966182499260584,0.015326443718576024,0.37658053659853113,0.09024460511097113
