rank_ben_no,feature,family,f_stat,p_anova,p_mal_ben,p_mal_no,p_ben_no,cliff_delta_mal_ben,cliff_delta_mal_no,cliff_delta_ben_no,mean_mal,mean_ben,mean_no,std_mal,std_ben,std_no,q_anova,q_mal_ben,q_mal_no,q_ben_no
51,original_shape2D_PixelSurface,shape2D,4.662380805400161,0.009904840350581557,0.009199287766436423,0.3509649772773962,0.04411071650347412,0.20057957393483708,0.06194450884921555,-0.13443989930774072,80713.38596491228,75312.625,78986.72246696035,11957.485563818416,15075.864149672316,13715.04495480794,0.012985131028123122,0.015707221645765452,0.3849293299171442,0.09024460511097113
52,original_shape2D_MinorAxisLength,shape2D,4.698348166005349,0.009561925648512958,0.008361552604906917,0.33409065076962075,0.043250970405065155,0.20308583959899748,0.06414715202102171,-0.13499056010069227,292.0862525743703,272.4345963253626,285.68677702123574,43.34488380187413,54.527823926685215,49.585588969544176,0.012985131028123122,0.015506879376372828,0.37863607087223683,0.09024460511097113
53,original_firstorder_Skewness,firstorder,9.711570191059414,7.426844631364571e-05,0.017910657310811217,2.0437598728770482e-05,0.06109698725381039,0.18233082706766918,0.28278846896978127,0.1250786658275645,0.8548104928904608,0.7446207227401295,0.6369814058280175,0.49476555751613344,0.44641934488244117,0.3958308449055167,0.00014568041392292044,0.028105954549272987,3.5332797802281174e-05,0.1175828811299747
54,original_glcm_JointEntropy,glcm,7.897846867456123,0.00042543678102890015,0.014250518817535513,4.672770658168676e-05,0.08593042490822646,0.1887531328320802,0.2702681814668831,0.11469477658904971,5.263001961166965,5.144999618342211,5.078815210288103,0.5089332643658186,0.38049045996969566,0.3490285127294258,0.0007613079239464529,0.023072268561724164,7.943710118886748e-05,0.15651613108284107
55,original_glcm_SumAverage,glcm,6.158562646465776,0.002297840465467068,0.14318844142041912,0.0003270945965876905,0.0848599575365653,-0.11278195488721804,-0.23850374835767835,-0.11508810572687225,15.149590937706535,15.841510804627502,16.695249255430124,4.3876913096010135,3.951166144176557,3.6537340888683865,0.003446760698200602,0.1896781951283474,0.0005055098310900671,0.15651613108284107
56,original_glcm_JointAverage,glcm,6.158562646465789,0.0022978404654670393,0.14318844142041912,0.0003270945965876905,0.0848599575365653,-0.11278195488721804,-0.23850374835767835,-0.11508810572687225,7.574795468853267,7.920755402313751,8.347624627715062,2.1938456548005068,1.9755830720882788,1.8268670444341937,0.003446760698200602,0.1896781951283474,0.0005055098310900671,0.15651613108284107
57,original_glcm_Autocorrelation,glcm,5.335877387436369,0.0051251779398014475,0.08873873142085846,0.0001088475513892023,0.0928130780616273,-0.13110902255639098,-0.256897750985393,-0.11225613593455003,77.57983923530668,83.55054750875709,89.93787893921498,35.60660810754713,32.70507123627415,32.68276316883734,0.007576349997967357,0.1239911041770899,0.00017907177809191346,0.16608656074185935
58,original_gldm_HighGrayLevelEmphasis,gldm,5.202884834607877,0.005836401695822286,0.09144092240813988,0.00013413618946655825,0.09535915069767932,-0.1300125313283208,-0.2534971790710256,-0.11139081183134046,78.0398810053123,83.91717562610587,90.2328618211011,35.63291410911506,32.65278599810599,32.65273697018426,0.008504471042483903,0.12604019034635497,0.00021717287818395143,0.16653345474970388
59,original_firstorder_Kurtosis,firstorder,6.874365349486692,0.0011460418120303145,0.0015831844323555807,2.205607000961262e-07,0.09796085573511992,0.24326441102756893,0.34392147770306825,0.1105254877281309,3.8048016248043064,3.5331945413887653,3.1884094899451236,1.304882168817313,2.0462772710778228,1.2125117700335823,0.0018854236262434206,0.0034358470659631747,4.78663647017125e-07,0.16653345474970388
60,original_glcm_ClusterShade,glcm,3.9746248560032726,0.019449634278950644,0.37553980854233915,0.011078998151932041,0.09748364580964053,0.06829573934837092,0.16863745266249325,0.11068281938325991,419.02488459301026,407.5255424256106,350.8924664793566,250.9538573634115,250.80761084494236,222.0028439710458,0.023617413053011498,0.42093473045405044,0.01591630720418406,0.16653345474970388
61,original_gldm_LowGrayLevelEmphasis,gldm,8.787348392925763,0.00018044314878659895,0.24653608647720793,0.0016113179624834013,0.10408478839195281,0.08928571428571429,0.2093670299095757,0.10855884203901825,0.1102404021024274,0.09990356782159256,0.06969719841141923,0.1033920749339503,0.10419948262397322,0.0773441004814969,0.00034726794672137914,0.2857577365985819,0.002416976943725102,0.1740434166553965
62,original_glrlm_LowGrayLevelRunEmphasis,glrlm,11.227888083148022,1.744029919212569e-05,0.19109640638046288,0.0007316920304027963,0.10893934119128243,0.10072055137844611,0.22420588917226988,0.10706419131529264,0.049944609085261646,0.043839713983090736,0.034768019809721794,0.03515412201438241,0.032372924331754656,0.022898034790690948,3.630429627748613e-05,0.23484136687719534,0.0011139192104639587,0.17922278712114206
63,original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,6.844751203331509,0.0011794545848126932,0.753238034197708,0.04576283370428038,0.11890543908981711,0.024279448621553883,0.13262230466032923,0.10415355569540592,6.9836677547347605,6.437094343166014,4.452931721871374,7.4563591772677045,7.37454767812904,5.607448996600472,0.001909593137315789,0.8003154113350647,0.05762727207205678,0.19251356805018008
64,original_glszm_GrayLevelNonUniformityNormalized,glszm,1.7084692219431117,0.18231569627720057,0.0864741200465733,0.9077631227866205,0.12691177830078007,0.13204887218045114,0.007728572532653219,-0.10195091252359975,0.06521065301927209,0.06286680503173268,0.06434818397706749,0.008859847252480398,0.009920621408280489,0.009897432040992537,0.2066244557808273,0.12250500339931218,0.9214124249359835,0.20226564666686825
65,original_firstorder_Minimum,firstorder,7.658907159240953,0.000535966591335788,0.014658345550162103,1.6316153127904224e-05,0.13781481711668211,0.18796992481203006,0.28611175515882215,0.09911894273127753,-163.86768472881434,-176.6045312711096,-184.7628633914736,51.55973806532469,45.79855111605371,43.96694174058408,0.0009425619364870755,0.023361738220570853,2.8693924466314327e-05,0.21626325147540884
66,original_glszm_GrayLevelVariance,glszm,1.857634142018098,0.15723596571066276,0.17569097058020755,0.8957768721160312,0.14320818332218085,-0.10432330827067669,0.008733286961898137,0.09778162366268094,20.161979543524073,22.467764097731482,21.347417535185375,6.213245823456321,9.34637953376853,9.894017464938011,0.1822507784373591,0.22124048147137249,0.9214124249359835,0.22132173786155224
67,original_glrlm_HighGrayLevelRunEmphasis,glrlm,8.214098562321203,0.00031349906972466714,0.02248937274812018,4.9092536009955085e-06,0.14744067500189925,-0.17575187969924813,-0.3032691861813123,-0.09675896790434235,97.82293135310071,107.35845115782057,113.36236556624836,32.22639345828249,33.73281921728275,33.68895273630211,0.0005921649094799268,0.03475630333800392,9.447997496255508e-06,0.22446192313721974
68,original_glcm_Idn,glcm,20.684141907713876,2.548082130560114e-09,2.3861454043313257e-06,8.704010735194078e-12,0.16141643439826048,-0.3632518796992481,-0.4531262075894582,-0.09353366897419761,0.981228055583634,0.9846230512426625,0.9858914080114585,0.006522121459056591,0.00685625183562033,0.0059050582119246995,8.384012171520376e-09,8.692386830064114e-06,2.8639003064186967e-11,0.24212465159739072
69,original_glrlm_GrayLevelVariance,glrlm,4.259903080077505,0.014697486451276116,0.014170165345865827,0.08346593923342609,0.1996670107682681,-0.18890977443609022,-0.11492387356055336,0.085667086217747,16.844416221805442,18.005807825722915,17.5384476565061,3.185460582463396,3.114499279498006,2.866844293947261,0.018739295225377046,0.023072268561724164,0.10135149764058882,0.2951599289617876
70,original_glrlm_LongRunEmphasis,glrlm,4.558755202422277,0.010963464877948016,0.00013329546645464318,1.5913191221048755e-07,0.20720339566206258,-0.2941729323308271,-0.34794033542004793,-0.0842511013215859,33.64351710515259,42.408910202980486,46.55349646062032,37.23525275176983,35.15638619552002,38.00613442325043,0.014155359715831616,0.0003486189122659899,3.6069900101043843e-07,0.30192494796471975
71,original_gldm_GrayLevelNonUniformity,gldm,9.929824501538741,6.025344279504173e-05,3.47686872813285e-05,8.313416408661477e-05,0.23288678779321237,0.31876566416040103,0.2612257516036788,-0.07968848332284456,7559.059855171232,6489.752273338466,6587.599104503455,2449.704149529378,2137.76767616075,1839.4173717985989,0.00012050688559008347,9.851128063043075e-05,0.0001390112251940116,0.33456975147757273
72,original_firstorder_Median,firstorder,1.7190763290222284,0.18040653885648456,0.9780853028910531,0.23747917843055544,0.2538226872141681,-0.0021929824561403508,-0.07844501120643017,-0.0762271869100063,-17.896779209412593,-18.471916595286945,-15.20836381909934,17.045212566120917,18.415528954139663,16.57888410647925,0.2066244557808273,0.9780853028910531,0.2784238643668581,0.3595821402200715
73,original_glcm_ClusterProminence,glcm,2.0823444777182014,0.1258370311300022,0.30081708788257666,0.9364255613032716,0.26831774578282774,-0.07973057644110276,-0.005332715047530721,0.07394587791063562,14645.445717072997,16131.835508652017,14634.170443115625,5816.803902937522,8959.208587878382,5741.961738492602,0.14753307098000257,0.34475666251711035,0.9364255613032716,0.3749097269842251
74,original_glrlm_GrayLevelNonUniformity,glrlm,52.76471075936782,2.5925435014793414e-21,1.191087533128221e-13,3.580592826816933e-19,0.2739618162113968,0.5711152882205514,0.5940180848597264,0.07308055380742605,2339.153480131334,1690.079785913372,1647.6269537932465,658.3082419879679,556.743920419084,606.2684865268985,1.322197185754464e-19,6.074546418953927e-12,6.087007805588787e-18,0.3776230439670605
75,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,3.761613329579323,0.023980468410403813,0.20310628435593892,0.01910841989687101,0.2839005948169093,0.09805764411027569,0.1555761650823093,0.07158590308370044,59.65412375509467,56.53523772181695,54.206141795982504,19.39952369087084,17.0596237219845,16.329387809319666,0.028776562092484578,0.2466290595750687,0.026338632830822203,0.3861048089509967
76,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,1.6224111276996545,0.19857474070453568,0.3456205917687625,0.9123789697895522,0.2940806688012183,-0.07268170426065163,-0.007342143906020558,0.07009125235997482,15.765025122360212,14.192003140819253,10.227055480435896,30.184979260545713,30.283685110492375,27.238518597011524,0.22015895165068086,0.39170333733793083,0.9214124249359835,0.39468721339110874
77,original_glcm_MaximumProbability,glcm,0.9644484024312814,0.38197990882361443,0.18227118257553476,0.46071839990978314,0.3203031764867684,-0.10275689223057644,-0.04899914985702141,0.06639395846444304,0.12521744661845355,0.1267695829563545,0.11795898997998068,0.07501536272114198,0.06319301392877445,0.05332973585859883,0.40166959484545023,0.22672756856956763,0.48670240324186675,0.42429771430714774
78,original_ngtdm_Coarseness,ngtdm,57.45907679978573,5.971330776414729e-23,4.441596691029805e-16,4.851184443552506e-22,0.3998754565973871,-0.6256265664160401,-0.6406213772316253,-0.05624606670862178,0.0005769431342218482,0.0008155975704497358,0.0008488593462357674,0.00014982382022729978,0.0002267973039242848,0.000254899732687994,6.090757391943024e-21,4.5304286248504014e-14,4.9482081324235565e-20,0.5229140586273524
79,original_firstorder_90Percentile,firstorder,1.261536508726112,0.2842181894348426,0.4999758800534422,0.11881902283356727,0.4213158961558563,-0.05200501253132832,-0.10356287193755313,-0.053728760226557586,139.41048849739522,141.41413965999453,143.21456277026203,19.340837976875203,20.212566161080808,22.17936471796207,0.30516058234056787,0.5483606426392591,0.14258282740028072,0.5439774861759157
80,original_glszm_LowGrayLevelZoneEmphasis,glszm,6.345093209184609,0.0019164643084913506,0.2440561038774397,0.035114943881459526,0.4399200377263589,0.08975563909774437,0.13988716284102326,0.051604782882315924,0.035165800862236266,0.029946485614594315,0.028094702782092123,0.02185149689805005,0.016121837731635277,0.015105156432748816,0.0030073747610171965,0.2857577365985819,0.04533828197353002,0.5608980481011077
81,original_gldm_DependenceEntropy,gldm,0.6830140644581718,0.5056151497149598,0.15881114520188422,0.02689811087252319,0.4462246283055058,0.10855263157894737,0.1469201638457377,0.05089679043423537,6.399258718877767,6.369811321817113,6.350028481914969,0.42150181067086,0.3472136704878594,0.34577239161932277,0.5209368209184434,0.20767611295631014,0.036581430786631536,0.5619124949032295
82,original_shape2D_MajorAxisLength,shape2D,0.7759427492805258,0.4608844832506378,0.16309449270672982,0.011629322262279867,0.45548266304268537,-0.10714285714285714,-0.16701445243063606,-0.04971680302076778,368.45908086994825,368.5847890104391,368.6325232840101,1.0025665451955184,1.2357668282863672,1.2919900736442318,0.4796960948118883,0.21057769944413215,0.016474873204896476,0.5649348112417489
83,original_glrlm_RunVariance,glrlm,1.2871264533597893,0.2770772612023955,0.0005043285795847592,1.3344755536668527e-05,0.45970185620652115,-0.26785714285714285,-0.2890486127212304,-0.04940213971050975,23.808162556584303,28.222839513731692,29.581444964908695,32.28639053681933,30.116595977336956,31.591901184021562,0.30065830470898236,0.001224797978991558,2.3880088855091045e-05,0.5649348112417489
84,original_firstorder_10Percentile,firstorder,36.77491712465562,1.6116088804008575e-15,1.356219379642251e-10,8.86917420470923e-15,0.5037224617107334,0.4943609022556391,0.5147229306747044,0.0446821900566394,-109.18918026863835,-123.9309064257242,-126.21276810276707,16.00690299735881,17.02687968417287,18.640345637894676,1.4066982471315347e-14,3.45835941808774e-09,4.761346152001797e-14,0.6116629892201763
85,original_firstorder_Entropy,firstorder,11.394819393379922,1.4877390489744279e-05,0.002279710907625037,7.258823636693135e-06,0.5585544088700181,-0.2349624060150376,-0.2977818996831285,-0.03909691629955947,3.752080537678338,3.829980802060212,3.854832290698121,0.22246829765243234,0.19259081842387818,0.1649290365362886,3.161445479070659e-05,0.004745520664852118,1.346181838077636e-05,0.6624715081946726
86,original_glcm_JointEnergy,glcm,0.04928900574245112,0.9519111219449369,0.14042935762084852,0.047560744296128825,0.5569710152517644,-0.11356516290726817,-0.1315403045057578,-0.03925424795468848,0.05232677712649017,0.0526841833715102,0.05182962484408745,0.030881232941343255,0.023665454139188618,0.020622598696434957,0.9519111219449369,0.1896781951283474,0.05916092583177,0.6624715081946726
87,original_firstorder_Uniformity,firstorder,8.01036728561776,0.0003816247885901825,0.001026691647191035,6.124308980892802e-06,0.5939311140201606,0.25281954887218044,0.300177757168251,0.03563561988672121,0.09390048807020825,0.08622682346574627,0.08346053662100908,0.02812601674130584,0.02274905748828236,0.019399061536617232,0.0006999923495036626,0.0022765771307279472,1.1568139186130849e-05,0.6963330302305332
88,original_ngtdm_Contrast,ngtdm,1.0138505550010841,0.36364644543940994,0.04036099869877883,0.045385109366230386,0.626118625348584,0.15789473684210525,0.13285416183630883,-0.032567652611705473,0.01772812741606934,0.016729529202606532,0.016432288811656832,0.006921630468216354,0.009097967831639431,0.007823550828813176,0.38637434827937306,0.060541498048168246,0.05762727207205678,0.7190901354747868
89,original_gldm_GrayLevelVariance,gldm,18.140057874551896,2.6506386992431787e-08,1.005391913349001e-06,5.100494558382797e-08,0.6344912960071648,-0.37656641604010027,-0.3616199088028441,0.031780994336060416,15.81026806248132,17.222922519489362,17.149996208934486,2.2485906917504908,1.9883050451107598,2.0499831507601,6.437265412447719e-08,5.089340958744678e-06,1.1823873748978303e-07,0.7190901354747868
90,original_firstorder_RootMeanSquared,firstorder,21.837253807996376,8.885005906564447e-10,1.4818155285952196e-07,1.6560497684055285e-08,0.6277893539270323,-0.40460526315789475,-0.37468119638302805,0.03241032095657646,99.42543693890534,104.0816371906078,103.80070164542988,6.979570270022137,5.664190543534446,6.105698593198344,3.0209020082319116e-09,1.3740471265155673e-06,4.331207086599074e-08,0.7190901354747868
91,original_glcm_SumSquares,glcm,18.57455389370269,1.773721854449028e-08,6.984386753632385e-07,3.2154601542831044e-08,0.6581820553826299,-0.38204887218045114,-0.36702990957570136,0.02957835116425425,15.802615940395164,17.23999076433304,17.172162291250068,2.265792168691946,2.003247771227045,2.06899981499063,4.638964850097458e-08,4.324377173741196e-06,7.808974660401825e-08,0.737742523615695
92,original_firstorder_MeanAbsoluteDeviation,firstorder,22.21283501697511,6.310854675918968e-10,4.726775332925223e-07,1.3882295291291679e-08,0.689150403272764,-0.38784461152882205,-0.3766906252415179,0.026746381371932033,78.5167047028901,83.68217189776816,83.3663367001397,7.429425250130091,6.542570748292343,6.702253730602043,2.219679920495637e-09,3.4437934568455197e-06,3.7263003150309244e-08,0.7640580558024123
93,original_firstorder_Variance,firstorder,18.203577329727537,2.4993429447007565e-08,5.659370379415801e-07,4.133928583395064e-08,0.6987208242475136,-0.3851817042606516,-0.3640930520132932,0.025881057268722467,9823.494260943447,10695.76703663244,10664.076818803875,1388.372027577239,1240.6875284161486,1281.0438850834396,6.217877569743345e-08,3.848371858002744e-06,9.806063151309221e-08,0.7663389685295311
94,original_glcm_SumEntropy,glcm,0.66571621720014,0.5144106948735565,0.7687388797743921,0.861801163776801,0.7268306868620961,-0.022713032581453633,-0.011592858798979828,0.023363750786658276,4.58763624228818,4.612854293864261,4.619757685760711,0.2982522417414595,0.23906748313523055,0.21344058213272488,0.5246989087710277,0.8083645952266805,0.8969767214819765,0.7886886176588702
95,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,19.714694392337066,6.202342188163215e-09,1.4698366808129964e-06,1.9831236847580582e-07,0.7419178803485694,-0.3707706766917293,-0.3452353350336193,0.022026431718061675,55.70676725671004,61.71288287835561,61.07748695776055,8.572939955485825,7.877446316635311,8.220449067602269,1.7619995475455184e-08,6.518406149692418e-06,4.397361214028738e-07,0.7965855136374115
96,original_ngtdm_Busyness,ngtdm,8.003107431457344,0.00038430952521769713,1.103248109424059e-06,2.376978725110722e-07,0.7687825023039595,0.37515664160401,0.34299404899914987,-0.019666456891126494,13.414517823835055,9.542135592593,9.745746956806155,7.842543929426974,7.499515546926826,9.44591145687062,0.0006999923495036626,5.115059416420637e-06,5.051079790860285e-07,0.816831408697957
97,original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,0.2697475433323357,0.7636956177709102,0.06570169793640515,0.01668941777501239,0.8059450725280923,-0.14176065162907267,-0.1588994512713502,-0.01644115796098175,38118.75349523715,29958.235944047083,32915.89184547275,80977.86322377832,68787.27242695235,93570.65209906286,0.7712569605211174,0.09438835478187782,0.023319460452757037,0.8474886329676847
98,original_glcm_ClusterTendency,glcm,20.27572506386307,3.7050043928178286e-09,2.9182920578736124e-07,4.501193258518263e-09,0.8537054485250997,-0.3948934837092732,-0.38928819846974266,0.012350534927627438,62.38390017283524,68.29845244291052,68.17949153689021,9.07214696252984,8.005850308817871,8.311659422269685,1.1115013178453487e-08,2.2897368454085265e-06,1.275338089913508e-08,0.8885505688730628
99,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,22.309065378864517,5.781738349342755e-10,2.7986703594153732e-06,7.85774734842953e-09,0.879658408371052,0.3607456140350877,0.38310534044362005,0.010147891755821271,0.07586571692800957,0.07104812842641754,0.07102240941824539,0.007870000599043631,0.006132927354658413,0.006240260866243141,2.184212265307263e-09,9.843599195185106e-06,2.1661898095670594e-08,0.9063147237762355
100,original_firstorder_InterquartileRange,firstorder,15.1983246591462,4.100364230132509e-07,3.6023225696634725e-05,3.064621090381714e-06,0.9235002750951549,-0.3181390977443609,-0.309761187108741,0.0064505978602894904,132.63788727148327,147.47335895812844,146.50444234702857,24.193104274091223,22.283424273814752,24.19552350827644,9.294158921633687e-07,9.930727083937141e-05,6.01137213882567e-06,0.941970280597058
101,original_firstorder_Mean,firstorder,1.5644043577852216,0.21034823571391628,0.17375188071421932,0.13201939472837618,0.9591239955440465,0.10479323308270677,0.10000772857253265,-0.003461296412838263,0.22886962000416963,-2.4906588610718052,-1.5985094516294276,10.515953090424516,12.771054639147986,12.05127238608896,0.23070451658945657,0.22124048147137249,0.15658114258481826,0.9591239955440465
102,original_glszm_HighGrayLevelZoneEmphasis,glszm,5.171695749301213,0.006017071598965882,0.0252710232562167,0.008809021710089805,0.9497384893520779,-0.17230576441102757,-0.17389288198469743,0.004247954688483323,131.68211150967173,145.4924668257893,148.4688479464975,36.28353790980619,44.81557464767534,50.583805394270335,0.008644243705556618,0.03847230406170304,0.013022032093176233,0.9591239955440465
