x,y,label,pred,correct
27.257917,-2.980677,0,0,1
26.231596,-1.731069,0,0,1
26.366503,-3.016371,0,0,1
1.430312,-11.723287,0,2,0
9.563714,-2.855196,0,0,1
27.359077,-2.667886,0,0,1
36.438507,-8.297786,0,0,1
26.994139,-5.910639,0,0,1
38.943123,-7.073834,0,0,1
6.747905,-8.841101,0,1,0
11.001136,-12.376414,0,0,1
9.901503,-8.966225,0,0,1
4.514802,-13.286447,0,0,1
32.174789,4.132695,0,0,1
33.795288,4.515253,0,0,1
33.901623,4.413080,0,0,1
10.262457,-9.529037,0,0,1
33.395584,-2.549209,0,0,1
29.441572,-5.792278,0,0,1
28.613647,-6.277497,0,0,1
28.239485,-6.305423,0,0,1
30.328135,-6.365541,0,0,1
25.548319,-9.377663,0,0,1
25.230555,-8.749710,0,0,1
25.486282,-10.530608,0,0,1
24.625536,-9.617055,0,0,1
26.193846,-10.128774,0,0,1
25.004030,-10.095529,0,0,1
24.714588,-8.722949,0,0,1
27.787422,1.916576,0,0,1
27.534435,1.402851,0,0,1
28.014662,2.371650,0,0,1
25.561764,2.387288,0,0,1
25.392717,2.250332,0,0,1
24.463564,3.588847,0,0,1
28.802031,1.363537,0,0,1
28.962275,1.066254,0,0,1
29.675266,2.118714,0,0,1
29.516712,1.085420,0,0,1
8.875957,-13.582341,0,0,1
8.916023,-14.345177,0,0,1
-25.309591,-7.672638,0,2,0
8.726819,-13.621140,0,0,1
31.876627,-8.950253,0,0,1
31.272720,-8.242704,0,0,1
31.025328,-9.060669,0,0,1
32.463921,-8.326234,0,0,1
30.700375,-8.084879,0,0,1
32.163750,-7.744585,0,0,1
31.377571,-7.558301,0,0,1
35.610840,-1.755332,0,0,1
36.014359,-1.905698,0,0,1
6.759437,-16.137861,0,0,1
38.455917,3.001849,0,0,1
38.445614,3.036183,0,0,1
6.769932,-15.971673,0,0,1
24.157381,-3.691764,0,0,1
32.430233,1.648784,0,0,1
32.874615,0.939632,0,0,1
34.666752,-6.095982,0,0,1
34.711269,-5.861987,0,0,1
33.550323,0.185129,0,0,1
34.016552,0.710562,0,0,1
32.720409,-6.010078,0,0,1
31.416313,-4.941920,0,0,1
31.924072,-5.668588,0,0,1
35.064217,-8.688562,0,0,1
35.139427,-8.683804,0,0,1
32.373108,-3.759817,0,0,1
33.182251,5.566565,0,0,1
32.187546,-3.671498,0,0,1
31.829916,-1.544036,0,0,1
31.862446,-1.149306,0,0,1
31.055267,-1.491200,0,0,1
30.111933,-1.772961,0,0,1
32.980133,0.110636,0,0,1
32.063061,0.262263,0,0,1
16.466866,-3.375881,0,0,1
17.757671,-3.259583,0,0,1
16.518000,-3.053521,0,0,1
18.428324,-3.478075,0,0,1
36.929886,-3.615839,0,0,1
38.878613,-5.520462,0,0,1
37.007954,-5.737399,0,0,1
38.955021,-4.103012,0,0,1
37.424320,-4.271737,0,0,1
40.256821,-4.998861,0,0,1
38.554626,-5.792311,0,0,1
29.623713,-3.627599,0,0,1
30.192587,-3.655459,0,0,1
13.365202,12.835369,0,1,0
11.257009,14.391481,0,1,0
12.327403,13.464037,0,1,0
12.985423,14.736636,0,1,0
14.167872,12.368217,0,0,1
14.295344,14.600523,0,1,0
12.930627,13.264399,0,1,0
12.222101,14.231079,0,1,0
26.916725,4.043152,0,0,1
5.961782,-6.557305,0,0,1
29.430527,4.579178,0,0,1
28.405685,-0.101340,0,0,1
28.705706,-0.737166,0,0,1
26.402296,4.186236,0,0,1
35.219769,-4.587526,0,0,1
36.066032,-3.212094,0,0,1
34.766563,-3.180089,0,0,1
35.511261,-3.268898,0,0,1
34.851906,-3.803214,0,0,1
35.401302,-4.542967,0,0,1
38.209637,-0.609086,0,0,1
38.173237,-0.579743,0,0,1
35.414352,2.016289,0,0,1
35.251957,1.706558,0,0,1
3.777920,-4.140305,1,1,1
7.695933,11.352554,1,1,1
-3.067701,-0.838642,1,1,1
-31.789259,-1.272101,1,2,0
-19.126429,-5.725115,1,2,0
-21.077114,-7.158065,1,2,0
-7.589044,0.460056,1,1,1
-18.047981,-6.857259,1,2,0
-7.909805,-0.242326,1,1,1
-17.364538,-5.862052,1,2,0
-24.534071,-6.420296,1,2,0
-9.134375,1.287033,1,2,0
-22.521612,1.131620,1,2,0
-22.440416,1.217642,1,2,0
-19.640779,-3.010436,1,2,0
-20.023794,5.591716,1,2,0
-18.270193,-9.986045,1,2,0
-18.287258,-10.008403,1,2,0
-2.385459,-4.737098,1,1,1
-3.154058,-4.914428,1,2,0
-5.187183,-7.848731,1,1,1
7.946779,3.927688,1,2,0
5.071054,11.104789,1,1,1
-21.269812,-5.035128,1,2,0
-9.625921,18.131924,1,2,0
2.363293,0.820513,1,2,0
1.764014,0.485818,1,1,1
7.390744,-1.612516,1,0,0
-9.045418,-12.478177,1,2,0
-9.846028,-11.593936,1,2,0
-9.998329,-11.376714,1,2,0
-9.614411,-12.407631,1,2,0
11.689634,-4.274605,1,1,1
2.122761,-14.566261,1,1,1
-7.774256,-8.534114,1,2,0
-4.675271,-9.440243,1,1,1
10.923386,-7.096305,1,1,1
11.167726,-6.801137,1,1,1
-1.591950,-3.226846,1,1,1
25.088490,-1.387942,1,0,0
9.233382,-2.480305,1,0,0
-20.584200,-2.286030,1,2,0
-10.455607,4.161896,1,2,0
5.282980,-10.336581,1,1,1
5.171137,-10.487320,1,1,1
5.819123,-12.021702,1,1,1
5.977140,-12.266992,1,1,1
-16.565084,-1.322454,1,2,0
-15.728332,1.182030,1,2,0
-16.476410,-0.225775,1,2,0
-18.302664,3.366730,1,2,0
-16.419546,0.012535,1,2,0
-17.776588,1.810164,1,2,0
-4.903887,9.282035,1,2,0
-6.029287,9.326391,1,2,0
-0.729836,-10.265021,1,2,0
0.195366,12.112741,1,2,0
0.719145,12.687768,1,1,1
1.143958,12.813134,1,1,1
6.838866,12.570323,1,1,1
8.530082,13.352612,1,1,1
-3.724804,-6.613778,1,1,1
20.857916,-6.115804,1,0,0
-27.376677,-0.396453,1,2,0
-6.307525,0.799775,1,1,1
-4.489827,-14.640656,1,2,0
-4.430346,-14.522890,1,2,0
8.160253,14.546904,1,1,1
8.256200,15.811102,1,1,1
7.287855,14.096003,1,1,1
-0.845180,-4.474650,1,1,1
10.175950,-6.586181,1,1,1
-8.466694,13.971001,1,2,0
9.714176,15.098275,1,1,1
10.540209,15.158197,1,1,1
7.249193,-6.477881,1,0,0
0.270900,-6.783513,1,1,1
-29.084629,-3.655680,1,2,0
-27.896646,-4.447629,1,2,0
-28.132305,-4.263621,1,2,0
7.832585,-7.342855,1,1,1
13.687957,-0.172538,1,0,0
14.121293,-0.169124,1,0,0
5.898679,8.916465,1,1,1
31.680029,5.936583,1,0,0
-11.020537,-4.096776,1,1,1
-21.632214,-6.358019,1,2,0
3.206203,-7.054739,1,1,1
3.012977,-7.115919,1,1,1
-24.541656,1.000676,1,2,0
-19.992861,1.658842,1,2,0
-11.568947,7.680863,1,2,0
-3.949493,14.198254,1,2,0
-9.233328,14.441640,1,2,0
-7.957486,-8.690969,1,1,1
-17.597599,-9.257736,1,2,0
-21.796835,-3.119009,1,2,0
-15.252075,3.418769,1,2,0
-9.564931,13.713174,1,2,0
-8.745577,10.100296,1,2,0
4.640501,-7.011748,1,1,1
4.958300,-7.934267,1,1,1
11.310268,11.264686,1,1,1
-19.268196,0.872832,1,2,0
-16.424839,-6.633535,1,1,1
2.551359,-2.634531,1,1,1
10.862146,1.219644,1,1,1
10.202337,1.648726,1,2,0
-1.115560,-5.689478,1,1,1
2.421793,3.775089,1,2,0
2.348835,3.949504,1,1,1
2.702479,-3.458756,1,1,1
-18.730314,-1.287376,1,2,0
-18.709267,0.122495,1,2,0
-22.553957,-0.607994,2,2,1
-1.221343,11.471903,2,2,1
-10.642796,4.839433,2,2,1
-8.785874,-13.591569,2,2,1
-29.665113,7.823757,2,2,1
-20.242525,-9.888840,2,2,1
-20.132927,3.768033,2,2,1
-23.986704,-1.322200,2,2,1
-32.171043,3.341071,2,2,1
6.613256,10.992871,2,1,0
3.310354,-12.829941,2,1,0
-12.450801,3.124140,2,2,1
-7.919159,-7.404929,2,1,0
-22.375788,5.226095,2,2,1
-22.711479,-5.230735,2,2,1
-13.034625,6.744642,2,2,1
15.186264,-2.627803,2,0,0
11.570411,0.258287,2,1,0
-13.459419,-6.557604,2,2,1
-2.236652,11.261912,2,2,1
-11.515975,2.086381,2,2,1
-5.644783,-1.498417,2,1,0
-13.367352,-2.970407,2,1,0
-9.498846,10.110701,2,2,1
-13.699687,14.041495,2,2,1
-20.788017,1.888919,2,2,1
-24.487804,1.846981,2,2,1
-16.850670,-2.179018,2,2,1
-14.630011,10.722713,2,2,1
-30.467999,-0.052673,2,2,1
-15.699912,10.142682,2,2,1
-12.971066,-4.223252,2,2,1
-11.696373,-5.466564,2,1,0
-7.381682,15.502100,2,2,1
-7.764359,-6.174013,2,1,0
-23.079262,-9.128414,2,2,1
-1.594369,5.270717,2,2,1
-26.221981,8.312119,2,2,1
-21.778755,3.857475,2,2,1
3.588288,-10.765882,2,2,1
-0.446556,0.304677,2,1,0
7.114721,13.647501,2,1,0
5.821389,0.939024,2,2,1
-19.556295,-6.168118,2,2,1
4.140418,15.128551,2,1,0
-15.051563,-1.747773,2,2,1
-17.634466,-4.857564,2,2,1
-24.877361,2.997258,2,2,1
-23.432190,-1.361577,2,2,1
6.604181,1.878242,2,2,1
-21.839354,-3.494925,2,2,1
6.572188,5.017158,2,2,1
-8.961379,-0.634898,2,2,1
-24.772251,10.973189,2,2,1
-14.692106,-3.475114,2,2,1
-24.969149,-1.663716,2,2,1
-7.823729,12.599641,2,2,1
-16.847021,7.458068,2,2,1
-8.004058,11.813729,2,2,1
-0.524750,-10.175545,2,2,1
-17.819277,-4.102444,2,2,1
-22.165257,13.935093,2,2,1
-25.966391,-2.022243,2,2,1
-4.702124,-6.652220,2,1,0
-7.033271,17.731167,2,2,1
-3.663762,0.724924,2,1,0
-22.898924,-2.998121,2,2,1
-11.997659,13.686779,2,2,1
-19.159964,-7.147422,2,2,1
3.319407,1.286981,2,2,1
-6.025748,-6.049996,2,2,1
0.677400,-9.196488,2,0,0
-2.538584,-5.859040,2,1,0
5.979285,14.315323,2,1,0
3.960638,5.613985,2,2,1
-2.297306,8.748773,2,1,0
-8.998878,16.402449,2,2,1
-6.436880,14.344927,2,2,1
-31.121927,0.589127,2,2,1
-4.003023,5.516936,2,2,1
21.178555,-6.951361,2,0,0
-25.915154,5.129280,2,2,1
-0.028233,-11.897809,2,2,1
-16.558500,1.959343,2,2,1
2.003969,-10.667375,2,2,1
-5.406575,9.279933,2,2,1
-27.169737,7.263592,2,2,1
-1.380825,9.546296,2,2,1
-1.770325,13.276857,2,2,1
-2.783388,11.157305,2,2,1
-19.991966,9.703141,2,2,1
-7.156782,-8.617862,2,2,1
-19.112089,2.370628,2,2,1
-17.187222,6.724810,2,2,1
9.771458,12.296185,2,1,0
4.695029,-8.622695,2,0,0
-9.685512,3.517061,2,2,1
-23.495443,9.471465,2,2,1
6.172019,-4.372280,2,0,0
-12.110124,9.831994,2,2,1
-10.628899,-2.891748,2,2,1
2.796901,19.692957,2,1,0
-11.153659,16.075100,2,2,1
-13.568568,-2.041530,2,2,1
-13.932221,-5.864020,2,2,1
5.394776,3.648309,2,2,1
-5.897368,12.351585,2,2,1
-5.879348,-11.203891,2,2,1
-30.196150,-0.849782,2,2,1
9.443645,9.134960,2,1,0
8.588094,1.738797,2,2,1
-18.265215,5.532620,2,2,1
-19.984615,-4.500704,2,2,1
-13.564431,4.395289,2,2,1
1.339076,-5.099024,2,1,0
3.893211,19.140072,2,1,0
-25.432861,4.507639,2,2,1
-5.809430,15.788490,2,2,1
-21.118979,3.088845,2,2,1
7.547758,15.014424,2,1,0
0.872719,10.546026,2,1,0
-0.532338,8.848249,2,1,0
4.982077,13.106359,2,1,0
-6.946976,12.489084,2,2,1
-20.652740,-0.822434,2,2,1
16.889277,-1.887833,2,0,0
-24.772581,-5.220315,2,2,1
-15.250605,8.218477,2,2,1
11.556209,-3.137037,2,1,0
-15.797350,5.243489,2,2,1
-13.970610,14.462467,2,2,1
-2.352662,-13.793576,2,2,1
-27.255600,4.157971,2,2,1
-14.146388,0.046103,2,2,1
-9.007687,-9.525270,2,2,1
0.025134,-3.011594,2,1,0
-20.683092,4.977139,2,2,1
0.625900,6.590020,2,2,1
-27.172266,1.654595,2,2,1
-7.973710,2.646461,2,2,1
-2.743483,3.345631,2,2,1
10.071593,12.577992,2,1,0
-29.016087,10.826089,2,2,1
-18.425825,-1.825810,2,2,1
-12.694246,5.671654,2,2,1
3.155851,-12.500700,2,1,0
-24.735989,9.657412,2,2,1
-15.167741,-3.980373,2,2,1
-26.431025,5.300879,2,2,1
22.229105,-7.707871,2,0,0
15.404441,-4.226741,2,0,0
-7.665519,-1.736417,2,2,1
-0.515642,-0.667707,2,1,0
-25.799252,6.337689,2,2,1
-4.407714,-4.622020,2,2,1
3.352110,19.047997,2,1,0
-22.439829,-9.015105,2,2,1
-11.461366,-3.913379,2,2,1
-30.158012,9.071056,2,2,1
7.110755,0.224649,2,2,1
-3.769683,-11.445309,2,2,1
-28.633667,9.785231,2,2,1
-31.369150,2.923951,2,2,1
-23.829792,-6.696609,2,2,1
5.782618,-4.853765,2,1,0
-19.076956,12.621968,2,2,1
-27.364334,3.195744,2,2,1
-14.476721,8.285167,2,2,1
-17.966997,9.438299,2,2,1
-7.453972,17.157143,2,2,1
-15.413762,-3.007265,2,2,1
-5.559663,7.896922,2,2,1
-24.083878,5.605175,2,2,1
-21.685877,7.778415,2,2,1
1.138631,1.942991,2,2,1
-24.004169,2.753939,2,2,1
-31.994589,-0.070528,2,2,1
-0.539225,3.523246,2,2,1
-12.955800,1.732188,2,2,1
-25.426807,-3.242776,2,2,1
-1.685607,3.505682,2,2,1
-27.419321,9.928939,2,2,1
3.401197,18.550287,2,1,0
-31.863592,7.846172,2,2,1
-22.114641,10.114020,2,2,1
-29.047575,2.999131,2,2,1
-2.001901,-2.766642,2,1,0
-12.981732,15.900904,2,2,1
-24.901163,12.027719,2,2,1
-27.972269,5.199709,2,2,1
-25.193720,6.560649,2,2,1
-19.193544,-4.786553,2,2,1
-15.968966,12.218860,2,2,1
2.228022,-9.751399,2,0,0
-21.220852,5.459942,2,2,1
-27.903788,7.721256,2,2,1
-17.019192,9.826659,2,2,1
-8.787350,16.612162,2,2,1
6.555247,4.956962,2,2,1
-0.982216,-8.043303,2,2,1
-23.658789,-3.687796,2,2,1
-7.943798,15.135560,2,2,1
1.871742,-12.971375,2,1,0
-29.678947,5.314638,2,2,1
-22.318733,13.786157,2,2,1
-12.387699,14.214141,2,2,1
-11.782324,11.576323,2,2,1
-9.961716,14.947289,2,2,1
-16.217913,10.899101,2,2,1
-19.609901,8.230761,2,2,1
-3.367395,-0.016379,2,1,0
6.285936,-1.829180,2,0,0
-14.140901,-10.071090,2,2,1
-13.925781,2.143609,2,2,1
-23.178957,6.850402,2,2,1
-27.781069,-6.900812,2,2,1
6.043239,1.205451,2,2,1
-12.315865,-0.708801,2,2,1
-19.716387,7.178376,2,2,1
-23.125774,3.815299,2,2,1
-17.822474,6.347462,2,2,1
4.128505,2.062247,2,2,1
-3.479813,12.255311,2,2,1
-12.484989,10.621855,2,2,1
-29.674133,-1.388231,2,2,1
-17.376846,3.786803,2,2,1
-26.086437,2.248302,2,2,1
9.735707,-11.615198,2,0,0
